film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,class
1576,165,6320000,84,0,4,6.62,75238.09523809524,84,1268.882175226586,2018-10-13,10,4,13,baja
1493,194,5840000,156,0,3,9.19,37435.89743589744,156,1697.4972796517957,2018-05-25,5,2,25,baja
1497,479,1760000,22,0,2,6.51,80000.0,22,337.94162826420893,2018-05-18,5,2,18,baja
1482,485,4350000,29,0,3,21.01,150000.0,29,138.02950975725844,2018-04-28,4,2,28,baja
1485,225,3150000,45,0,6,3.3,70000.0,45,1363.6363636363635,2018-04-18,4,2,18,baja
1554,475,3290000,47,0,3,9.14,70000.0,47,514.2231947483589,2018-09-10,9,3,10,baja
1493,503,720000,9,0,2,9.09,80000.0,9,99.009900990099,2018-06-11,6,2,11,baja
1482,522,5070000,59,0,4,16.43,85932.20338983051,59,359.0992087644553,2018-04-16,4,2,16,baja
1572,50,5220000,87,0,3,29.59,60000.0,87,294.018249408584,2018-10-16,10,4,16,baja
1576,556,66300000,574,0,8,21.55,115505.22648083624,574,2663.573085846868,2018-10-19,10,4,19,baja
1496,522,4200000,28,0,3,9.82,150000.0,28,285.132382892057,2018-05-14,5,2,14,baja
1486,501,160000,4,0,2,1.0,40000.0,4,400.0,2018-03-31,3,1,31,baja
1578,120,200000,4,0,1,1.07,50000.0,4,373.8317757009346,2018-10-13,10,4,13,baja
1572,479,1920000,24,0,2,7.1,80000.0,24,338.02816901408454,2018-10-12,10,4,12,baja
1499,159,3220000,46,0,10,1.47,70000.0,46,3129.2517006802723,2018-06-25,6,2,25,baja
1483,456,5680000,75,0,4,19.23,75733.33333333333,75,390.01560062402496,2018-04-23,4,2,23,baja
1563,253,2660000,38,0,4,2.41,70000.0,38,1576.7634854771784,2018-09-30,9,3,30,baja
1496,431,680000,10,0,8,2.14,68000.0,10,467.2897196261682,2018-05-19,5,2,19,baja
1575,536,2000000,25,0,1,25.0,80000.0,25,100.0,2018-10-24,10,4,24,baja
1512,196,2480000,31,0,2,16.76,80000.0,31,184.96420047732693,2018-07-10,7,3,10,baja
1497,201,1470000,21,0,2,3.31,70000.0,21,634.441087613293,2018-06-09,6,2,9,baja
1481,470,360000,12,0,4,2.5,30000.0,12,480.0,2018-06-02,6,2,2,baja
1554,453,9650000,149,0,7,7.74,64765.10067114094,149,1925.064599483204,2018-09-07,9,3,7,baja
1560,72,2880000,24,0,6,3.96,120000.0,24,606.060606060606,2018-08-13,8,3,13,baja
